USA,188.0,191.0
UK,555.0,137.0
France,570.0,164.0
Japan,1069.0,205.0
Italy,611.0,181.6
Canada,200.0,115.0
India,856.0,263.0
Germany,592.6,141.3
Spain,544.5,188.5
South Korea,1028.2,204.8
Russia,868.4,97.4
China,932.0,210.8
Finland,643.3,90.6
Australia,1042.8,468.6
Sweden,609.0,107.8
Netherlands,580.6,138.7
Poland,626.1,138.7
